model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.981,0.194,0.83,0.793,0.885,0.878,0.883,2.4e-05,10,0,,,,
rf,random,0.75,0.747,0.747,0.75,0.224,0.224,0.224,0.224,14.343,0.242,0.806,0.708,0.816,0.792,0.872,2e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,8.185,0.002,0.71,0.648,0.785,0.759,0.794,3e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,7.681,0.007,0.775,0.724,0.84,0.826,0.851,1e-06,10,0,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.926,0.08,0.813,0.8,0.893,0.891,0.817,2e-06,10,0,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,18.173,0.33,0.5,0.134,0.042,0.155,0.883,2.5e-05,10,0,,,,
svc,k-means,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,7.121,0.002,0.789,0.763,0.87,0.865,0.879,3e-06,10,0,,,,
logreg,k-means,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,5.897,0.006,0.789,0.785,0.886,0.886,0.878,0.0,10,0,,,,
xgb,ag,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,4.619,0.018,0.631,0.505,0.619,0.56,0.757,1.7e-05,10,0,,,,
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,17.673,0.426,0.651,0.421,0.474,0.431,0.79,2.5e-05,10,0,,,,
svc,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,6.206,0.002,0.794,0.784,0.885,0.883,0.878,2e-06,10,0,,,,
logreg,ag,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,7.765,0.008,0.779,0.786,0.889,0.891,0.89,1e-06,10,0,,,,
xgb,k_center,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,7.085,0.027,0.568,0.415,0.498,0.44,0.74,5e-06,10,0,,,,
rf,k_center,0.5,0.44,0.44,0.5,0.224,0.244,0.244,0.224,15.892,0.47,0.482,0.154,0.082,0.167,0.648,2.8e-05,10,0,,,,
svc,k_center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,4.725,0.002,0.5,0.135,0.043,0.156,0.503,5e-06,10,0,,,,
logreg,k_center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,7.978,0.008,0.493,0.134,0.044,0.154,0.483,1e-06,10,0,,,,
xgb,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,4.724,0.034,0.5,0.458,0.774,0.845,0.49,1.4e-05,10,0,,,,
rf,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,16.852,0.261,0.5,0.458,0.774,0.845,0.5,1.1e-05,10,0,,,,
svc,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,5.62,0.001,0.499,0.465,0.773,0.837,0.702,2e-06,10,0,,,,
logreg,craig,0.8,0.8,0.8,0.8,0.4,0.4,0.4,0.4,8.145,0.01,0.508,0.486,0.777,0.833,0.633,0.0,10,0,,,,
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.617,0.053,0.318,0.232,0.289,0.241,0.275,9e-06,10,0,,,,
rf,lc,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,16.422,0.378,0.341,0.323,0.46,0.381,0.282,2.5e-05,10,0,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7.184,0.002,0.369,0.171,0.154,0.172,0.217,4e-06,10,0,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.493,0.008,0.445,0.127,0.047,0.142,0.104,1e-06,10,0,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.943,0.024,0.802,0.803,0.897,0.897,0.849,1.7e-05,10,1,,,,
rf,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,17.728,0.264,0.756,0.731,0.851,0.844,0.852,1.8e-05,10,1,,,,
svc,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,5.621,0.002,0.769,0.724,0.842,0.83,0.848,3e-06,10,1,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,2.951,0.008,0.779,0.743,0.856,0.847,0.861,1e-06,10,1,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.35,0.05,0.804,0.803,0.896,0.896,0.859,8e-06,10,1,,,,
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,11.609,0.113,0.5,0.134,0.042,0.155,0.882,7e-06,10,1,,,,
svc,k-means,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,7.907,0.001,0.53,0.518,0.795,0.852,0.5,5e-06,10,1,,,,
logreg,k-means,0.7,0.693,0.693,0.7,0.187,0.185,0.185,0.187,7.192,0.012,0.803,0.725,0.834,0.815,0.877,0.0,10,1,,,,
xgb,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,3.522,0.05,0.684,0.494,0.578,0.523,0.854,2e-06,10,1,,,,
rf,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,15.563,0.323,0.71,0.517,0.603,0.549,0.833,1.8e-05,10,1,,,,
svc,ag,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,7.765,0.002,0.515,0.489,0.785,0.849,0.107,3e-06,10,1,,,,
logreg,ag,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,4.568,0.04,0.77,0.693,0.812,0.789,0.85,1e-06,10,1,,,,
xgb,k_center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,3.635,0.044,0.814,0.794,0.888,0.885,0.807,7e-06,10,1,,,,
rf,k_center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,11.678,0.243,0.737,0.594,0.704,0.656,0.845,1.5e-05,10,1,,,,
