model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,Full-data,0.783,0.364,0.722,0.567,0.0,0.001,0.001,0.002,123.149,1.345,0.783,0.364,0.722,0.566,,0.0,original,,,,,,,
logreg,Full-data,0.718,0.792,0.999,0.999,0.015,0.013,0.0,0.0,244.471,5.469,0.699,0.778,0.999,0.999,,0.0,original,,,,,,,
knn,Full-data,0.847,0.902,1.0,1.0,0.003,0.003,0.0,0.0,16148.297,23.468,0.847,0.899,1.0,1.0,,0.000542,original,,,,,,,
xgb,Full-data,0.925,0.942,1.0,1.0,0.004,0.004,0.0,0.0,1482.494,15.718,0.857,0.879,0.999,0.999,,0.0,original,,,,,,,
rf,Full-data,0.988,0.581,0.993,0.987,0.001,0.002,0.0,0.0,85635.39,2466.157,0.989,0.58,0.992,0.987,,8e-06,original,,,,,,,
mlp,Full-data,0.841,0.895,0.999,1.0,0.013,0.012,0.0,0.0,10477.543,447.349,0.86,0.899,1.0,1.0,,1e-06,original,,,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,32.591,0.001,0.799,0.39,0.772,0.631,,0.0,original,10,5,,,,,
logreg,random,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,0.983,0.002,0.779,0.499,0.97,0.944,,0.0,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.249,0.001,0.736,0.512,0.983,0.969,,1e-06,original,10,5,,,,,
xgb,random,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.282,0.078,0.814,0.458,0.903,0.824,,0.0,original,10,5,,,,,
rf,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,12.808,0.325,0.87,0.48,0.94,0.889,,4e-06,original,10,5,,,,,
mlp,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,1.372,0.018,0.788,0.444,0.878,0.785,,0.0,original,10,5,,,,,
naive_bayes,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.521,0.001,0.783,0.364,0.722,0.566,,0.0,original,10,5,,,,,6.72046971321106
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.888,0.024,0.786,0.367,0.728,0.574,,0.0,original,10,5,,,,,6.72046971321106
knn,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.751,0.001,0.78,0.504,0.975,0.953,,1e-06,original,10,5,,,,,6.72046971321106
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.065,0.034,0.754,0.342,0.678,0.514,,0.0,original,10,5,,,,,6.72046971321106
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.007,0.259,0.66,0.245,0.485,0.321,,3e-06,original,10,5,,,,,6.72046971321106
mlp,k-means,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,1.394,0.03,0.806,0.421,0.833,0.715,,0.0,original,10,5,,,,,6.72046971321106
naive_bayes,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,37.045,0.001,0.783,0.364,0.722,0.566,,0.0,original,10,5,,,,,1076.7811386585236
logreg,ag,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,1.34,0.015,0.808,0.407,0.806,0.676,,0.0,original,10,5,,,,,1076.7811386585236
