model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,14.291,0.047,0.755,0.679,0.802,0.778,0.824,1.2e-05,original,10,5,,,,
rf,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,17.19,0.346,0.75,0.642,0.761,0.725,0.835,2.8e-05,original,10,5,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.702,0.042,0.823,0.797,0.889,0.885,0.853,1.7e-05,original,10,5,199.25786423683167,0,8.403841327888273e-07,0.002160787582397461
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,13.035,0.257,0.73,0.685,0.817,0.8,0.819,1.7e-05,original,10,5,199.25786423683167,0,8.403841327888273e-07,0.002160787582397461
xgb,k_means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.581,0.032,0.788,0.795,0.894,0.895,0.816,1.4e-05,latent,10,5,199.25786423683167,0,8.403841327888273e-07,0.002160787582397461
rf,k_means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,14.104,0.262,0.806,0.759,0.863,0.853,0.871,1.8e-05,latent,10,5,199.25786423683167,0,8.403841327888273e-07,0.002160787582397461
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.728,0.022,0.835,0.792,0.883,0.876,0.873,1.5e-05,original,10,6,,,,
rf,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.799,0.433,0.763,0.669,0.788,0.758,0.837,3.2e-05,original,10,6,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.375,0.1,0.804,0.803,0.896,0.896,0.866,3e-06,original,10,6,199.25786423683167,0,8.403841327888273e-07,0.0018999576568603516
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.329,0.435,0.738,0.644,0.767,0.734,0.812,2.5e-05,original,10,6,199.25786423683167,0,8.403841327888273e-07,0.0018999576568603516
xgb,k_means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.764,0.031,0.816,0.797,0.89,0.887,0.87,2e-05,latent,10,6,199.25786423683167,0,8.403841327888273e-07,0.0018999576568603516
rf,k_means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,16.703,0.429,0.816,0.758,0.86,0.848,0.876,2.7e-05,latent,10,6,199.25786423683167,0,8.403841327888273e-07,0.0018999576568603516
xgb,random,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,7.342,0.049,0.799,0.8,0.895,0.895,0.8,2.2e-05,original,10,7,,,,
rf,random,0.55,0.5,0.5,0.55,0.187,0.213,0.213,0.187,14.986,0.177,0.745,0.651,0.774,0.742,0.804,1.5e-05,original,10,7,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,6.405,0.226,0.793,0.722,0.834,0.816,0.869,1.3e-05,original,10,7,199.25786423683167,0,8.403841327888273e-07,0.0020198822021484375
rf,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,16.191,0.124,0.739,0.667,0.794,0.769,0.811,1e-05,original,10,7,199.25786423683167,0,8.403841327888273e-07,0.0020198822021484375
