model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.85,0.837,0.838,0.848,0.107,0.12,0.12,0.106,11.927,7.236,0.795,0.683,0.792,0.762,0.851,4.5e-05,original,0.01,5,,,,
rf,random,0.817,0.818,0.82,0.824,0.133,0.138,0.139,0.139,9.436,0.335,0.76,0.65,0.767,0.732,0.827,4e-05,original,0.01,5,,,,
svc,random,0.775,0.756,0.753,0.767,0.153,0.177,0.182,0.169,1.751,0.002,0.765,0.638,0.75,0.711,0.826,7e-06,original,0.01,5,,,,
logreg,random,0.775,0.782,0.787,0.79,0.073,0.078,0.08,0.083,5.529,0.151,0.784,0.668,0.78,0.747,0.83,1e-06,original,0.01,5,,,,
mlp,random,0.75,0.754,0.758,0.762,0.105,0.114,0.117,0.12,5.46,1.451,0.737,0.635,0.757,0.721,0.797,4.6e-05,original,0.01,5,,,,
naive_bayes,random,0.583,0.566,0.572,0.586,0.118,0.106,0.105,0.114,2.941,0.001,0.735,0.639,0.764,0.729,0.707,2e-06,original,0.01,5,,,,
knn,random,0.767,0.75,0.752,0.767,0.187,0.201,0.203,0.192,4.955,0.001,0.756,0.678,0.8,0.775,0.8,0.000205,original,0.01,5,,,,
xgb,k-means,0.967,0.966,0.966,0.967,0.067,0.069,0.069,0.067,6.197,0.545,0.765,0.703,0.823,0.805,0.85,1.1e-05,original,0.01,5,0,0,0,0.6055929660797119
rf,k-means,0.967,0.966,0.966,0.967,0.067,0.069,0.069,0.067,8.556,0.311,0.73,0.668,0.798,0.775,0.811,2e-05,original,0.01,5,0,0,0,0.6055929660797119
svc,k-means,0.917,0.909,0.909,0.91,0.07,0.075,0.075,0.074,6.218,0.002,0.783,0.72,0.834,0.818,0.865,4e-06,original,0.01,5,0,0,0,0.6055929660797119
