model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,14.775,0.046,0.583,0.501,0.562,0.525,0.613,7e-06,original,10,5,,,,
rf,random,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,15.832,0.277,0.577,0.514,0.589,0.551,0.608,8e-06,original,10,5,,,,
svc,random,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,5.084,0.001,0.564,0.424,0.446,0.427,0.451,4e-06,original,10,5,,,,
logreg,random,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,6.472,0.008,0.605,0.556,0.64,0.608,0.645,0.0,original,10,5,,,,
mlp,random,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,7.907,0.021,0.592,0.54,0.622,0.587,0.624,8e-06,original,10,5,,,,
naive_bayes,random,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,7.02,0.001,0.518,0.387,0.406,0.389,0.605,2e-06,original,10,5,,,,
knn,random,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,7.0,0.001,0.58,0.521,0.599,0.562,0.601,4.8e-05,original,10,5,,,,
xgb,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,7.756,0.036,0.499,0.494,0.672,0.694,0.569,6e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
rf,k-means,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,13.58,0.18,0.5,0.181,0.08,0.221,0.5,6e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
svc,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,7.09,0.002,0.552,0.328,0.295,0.333,0.574,4e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
logreg,k-means,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,6.467,0.046,0.616,0.59,0.69,0.668,0.659,0.0,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
mlp,k-means,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,8.316,0.036,0.621,0.592,0.689,0.667,0.63,1.3e-05,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
naive_bayes,k-means,0.6,0.52,0.52,0.6,0.255,0.299,0.299,0.255,6.163,0.001,0.593,0.435,0.45,0.436,0.643,1e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
knn,k-means,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,5.95,0.001,0.58,0.589,0.745,0.779,0.591,2e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.89,0.063,0.679,0.668,0.764,0.757,0.722,7e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
rf,k-means,0.7,0.687,0.687,0.7,0.292,0.307,0.307,0.292,15.66,0.339,0.696,0.666,0.752,0.737,0.763,1e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
svc,k-means,0.6,0.5,0.5,0.6,0.2,0.258,0.258,0.2,6.34,0.002,0.624,0.642,0.773,0.798,0.334,4e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.396,0.012,0.653,0.605,0.689,0.663,0.708,1.1e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
mlp,k-means,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,7.921,0.042,0.652,0.648,0.753,0.75,0.721,1e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
naive_bayes,k-means,0.55,0.473,0.473,0.55,0.245,0.28,0.28,0.245,6.946,0.001,0.536,0.295,0.249,0.304,0.547,2e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
knn,k-means,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,5.842,0.001,0.599,0.613,0.761,0.796,0.621,4.2e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.002038717269897461
xgb,k-center,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,5.791,0.031,0.583,0.525,0.603,0.566,0.589,7e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
rf,k-center,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,16.804,0.341,0.541,0.294,0.246,0.305,0.567,1e-05,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
svc,k-center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.248,0.001,0.528,0.482,0.566,0.526,0.525,2e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
logreg,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.649,0.006,0.56,0.461,0.508,0.474,0.56,0.0,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
mlp,k-center,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,4.942,0.743,0.545,0.476,0.543,0.503,0.556,1.7e-05,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
naive_bayes,k-center,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.961,0.001,0.501,0.374,0.394,0.376,0.525,1e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
knn,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,6.432,0.001,0.485,0.485,0.639,0.634,0.497,4e-05,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
xgb,k-center,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.98,0.086,0.504,0.326,0.312,0.327,0.526,7e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
rf,k-center,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,15.45,0.321,0.501,0.183,0.083,0.223,0.515,1.4e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
svc,k-center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,7.018,0.001,0.5,0.182,0.082,0.222,0.5,6e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
logreg,k-center,0.8,0.767,0.767,0.8,0.245,0.291,0.291,0.245,7.247,0.007,0.5,0.185,0.086,0.223,0.565,1.5e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
mlp,k-center,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,8.041,0.03,0.5,0.186,0.088,0.224,0.599,2.5e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
naive_bayes,k-center,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,6.128,0.001,0.495,0.2,0.113,0.231,0.502,2e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
knn,k-center,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,5.784,0.0,0.53,0.395,0.415,0.397,0.557,2e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.001794576644897461
xgb,ag,0.45,0.427,0.427,0.45,0.367,0.376,0.376,0.367,7.082,0.023,0.59,0.554,0.649,0.619,0.622,7e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
rf,ag,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,13.559,0.178,0.5,0.438,0.682,0.779,0.5,5e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
svc,ag,0.25,0.22,0.22,0.25,0.158,0.16,0.16,0.158,7.044,0.002,0.585,0.593,0.739,0.76,0.5,5e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
logreg,ag,0.5,0.387,0.387,0.5,0.158,0.181,0.181,0.158,7.32,0.048,0.53,0.53,0.68,0.684,0.583,0.0,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
mlp,ag,0.25,0.207,0.207,0.25,0.224,0.194,0.194,0.224,7.835,0.058,0.578,0.54,0.633,0.6,0.604,3.7e-05,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
naive_bayes,ag,0.45,0.373,0.373,0.45,0.1,0.114,0.114,0.1,6.932,0.001,0.569,0.544,0.648,0.621,0.575,2e-06,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
knn,ag,0.4,0.333,0.333,0.4,0.2,0.207,0.207,0.2,6.989,0.001,0.557,0.558,0.728,0.768,0.58,1.5e-05,original,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
xgb,ag,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,4.485,0.048,0.686,0.67,0.762,0.754,0.735,7e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
rf,ag,0.55,0.527,0.527,0.55,0.292,0.31,0.31,0.292,16.779,0.277,0.691,0.674,0.765,0.756,0.751,1e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
svc,ag,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,7.012,0.001,0.617,0.635,0.771,0.797,0.32,6e-06,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
logreg,ag,0.75,0.747,0.747,0.75,0.387,0.387,0.387,0.387,6.555,0.01,0.651,0.611,0.698,0.674,0.705,1.3e-05,latent,10,5,90.30084037780762,0,1.16712075692636e-06,0.0017707347869873047
