model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,43.121,0.002,0.632,0.608,0.692,0.674,,2e-06,original,10,5,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,1.126,0.009,0.694,0.704,0.79,0.796,,1.9e-05,original,10,5,,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.329,0.001,0.573,0.576,0.724,0.766,,1.8e-05,original,10,5,,,,,
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,1.426,0.094,0.716,0.69,0.761,0.75,,3e-06,original,10,5,,,,,
rf,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,15.25,0.433,0.756,0.697,0.753,0.735,,1.2e-05,original,10,5,,,,,
mlp,random,0.85,0.84,0.84,0.85,0.3,0.32,0.32,0.3,1.704,1.398,0.752,0.717,0.78,0.768,,3.4e-05,original,10,5,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.652,0.002,0.658,0.628,0.706,0.687,,3e-06,original,10,5,,,,,
naive_bayes,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.544,0.001,0.731,0.701,0.768,0.756,,1e-06,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
logreg,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.619,0.007,0.735,0.752,0.825,0.832,,1.3e-05,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
knn,k-means,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,0.636,0.001,0.762,0.746,0.809,0.803,,1.2e-05,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
xgb,k-means,0.85,0.847,0.847,0.85,0.2,0.202,0.202,0.2,1.041,0.803,0.757,0.709,0.768,0.753,,9e-06,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
rf,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,15.284,0.39,0.757,0.737,0.801,0.794,,1.3e-05,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
mlp,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,1.673,1.256,0.786,0.748,0.804,0.794,,3e-05,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.603,0.002,0.748,0.746,0.815,0.814,,3e-06,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
naive_bayes,k-means,0.6,0.56,0.56,0.6,0.122,0.154,0.154,0.122,0.519,0.002,0.571,0.576,0.708,0.729,,1e-06,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
logreg,k-means,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,0.636,0.004,0.754,0.739,0.804,0.799,,0.0,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
knn,k-means,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,0.665,0.001,0.71,0.706,0.784,0.782,,2e-06,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
xgb,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,1.02,0.063,0.721,0.663,0.722,0.701,,6e-06,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
rf,k-means,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,9.503,0.201,0.7,0.672,0.745,0.732,,6e-06,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
mlp,k-means,0.45,0.413,0.413,0.45,0.245,0.243,0.243,0.245,1.452,0.021,0.768,0.731,0.789,0.778,,1.3e-05,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
svc,k-means,0.6,0.493,0.493,0.6,0.122,0.196,0.196,0.122,0.593,0.001,0.631,0.651,0.77,0.799,,3e-06,latent,10,5,1440.5497801303864,0,5.093751625262197e-07,0.001033782958984375,0.19745588302612305
naive_bayes,k-center,0.5,0.46,0.46,0.5,0.274,0.275,0.275,0.274,0.541,0.001,0.566,0.565,0.682,0.681,,2e-06,original,10,5,1440.5497801303864,0,5.093751625262197e-07,0.0008447170257568359,0.06563544273376465
