model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,13.923,0.097,0.716,0.69,0.761,0.75,0.817,4e-06,original,10,5,,,,,
rf,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,13.015,0.185,0.754,0.682,0.735,0.714,0.833,5e-06,original,10,5,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.125,0.002,0.658,0.628,0.706,0.687,0.293,3e-06,original,10,5,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.796,0.007,0.694,0.704,0.79,0.796,0.84,9e-06,original,10,5,,,,,
mlp,random,0.7,0.7,0.7,0.7,0.4,0.4,0.4,0.4,7.925,0.904,0.73,0.715,0.786,0.78,0.836,1e-05,original,10,5,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.633,0.001,0.632,0.608,0.692,0.674,0.697,1e-06,original,10,5,,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.772,0.001,0.573,0.576,0.724,0.766,0.76,2.9e-05,original,10,5,,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.766,0.027,0.5,0.193,0.092,0.239,0.735,4e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0018241405487060547,0.20157909393310547
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,16.09,0.266,0.765,0.693,0.745,0.725,0.846,6e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0018241405487060547,0.20157909393310547
svc,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.843,0.002,0.768,0.733,0.792,0.782,0.141,2e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0018241405487060547,0.20157909393310547
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,6.824,0.006,0.76,0.749,0.813,0.81,0.87,1.2e-05,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0018241405487060547,0.20157909393310547
mlp,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,8.298,0.736,0.791,0.737,0.789,0.775,0.872,1.2e-05,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0018241405487060547,0.20157909393310547
naive_bayes,k-means,0.5,0.467,0.467,0.5,0.316,0.323,0.323,0.316,6.592,0.001,0.715,0.667,0.73,0.711,0.737,2e-06,original,10,5,1869.726514339447,0,5.377313363220422e-07,0.0018241405487060547,0.20157909393310547
