model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,3.167,0.057,0.83,0.793,0.885,0.878,0.883,1.1e-05,10,0,,,,
rf,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,16.41,0.377,0.807,0.721,0.828,0.808,0.874,3.3e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,5.982,0.002,0.71,0.648,0.785,0.759,0.794,4e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.436,0.006,0.775,0.724,0.84,0.826,0.851,1e-06,10,0,,,,
mlp,random,0.55,0.493,0.493,0.55,0.292,0.32,0.32,0.292,7.108,0.031,0.743,0.668,0.794,0.768,0.829,4.9e-05,10,0,,,,
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.54,0.017,0.813,0.8,0.893,0.891,0.863,2.1e-05,10,0,,,,
rf,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,16.271,0.317,0.5,0.134,0.042,0.155,0.889,2e-05,10,0,,,,
svc,k-means,0.6,0.587,0.587,0.6,0.255,0.267,0.267,0.255,6.811,0.001,0.789,0.763,0.87,0.865,0.879,4e-06,10,0,,,,
logreg,k-means,0.6,0.58,0.58,0.6,0.2,0.21,0.21,0.2,6.233,0.006,0.789,0.785,0.886,0.886,0.878,0.0,10,0,,,,
mlp,k-means,0.5,0.487,0.487,0.5,0.158,0.169,0.169,0.158,4.074,0.06,0.771,0.714,0.832,0.816,0.864,4.9e-05,10,0,,,,
xgb,ag,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,4.897,0.029,0.631,0.505,0.619,0.56,0.757,1e-06,10,0,,,,
rf,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,17.464,0.301,0.685,0.47,0.539,0.489,0.835,1.8e-05,10,0,,,,
svc,ag,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,5.495,0.001,0.794,0.784,0.885,0.883,0.878,3e-06,10,0,,,,
logreg,ag,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,6.863,0.008,0.779,0.786,0.889,0.891,0.89,1e-06,10,0,,,,
mlp,ag,0.55,0.467,0.467,0.55,0.187,0.223,0.223,0.187,7.935,0.022,0.743,0.69,0.817,0.8,0.832,2.6e-05,10,0,,,,
xgb,k_center,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,7.25,0.038,0.568,0.415,0.498,0.44,0.74,2e-06,10,0,,,,
rf,k_center,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,21.243,0.327,0.608,0.385,0.43,0.392,0.74,2.2e-05,10,0,,,,
svc,k_center,0.6,0.527,0.527,0.6,0.122,0.179,0.179,0.122,6.153,0.001,0.5,0.135,0.043,0.156,0.5,3e-06,10,0,,,,
logreg,k_center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,7.025,0.006,0.493,0.134,0.044,0.154,0.483,1e-06,10,0,,,,
mlp,k_center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,5.567,1.548,0.627,0.483,0.585,0.526,0.689,3.2e-05,10,0,,,,
xgb,craig,0.6,0.467,0.467,0.6,0.2,0.267,0.267,0.2,4.137,0.029,0.836,0.79,0.882,0.874,0.835,1.7e-05,10,0,,,,
rf,craig,0.3,0.2,0.2,0.3,0.245,0.163,0.163,0.245,13.937,0.216,0.745,0.754,0.874,0.876,0.881,1.4e-05,10,0,,,,
svc,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.727,0.001,0.509,0.487,0.779,0.835,0.693,2e-06,10,0,,,,
logreg,craig,0.7,0.6,0.6,0.7,0.245,0.327,0.327,0.245,6.925,0.008,0.573,0.542,0.717,0.683,0.595,1e-06,10,0,,,,
mlp,craig,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,4.918,0.794,0.574,0.578,0.786,0.793,0.658,5.2e-05,10,0,,,,
xgb,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.048,0.042,0.318,0.232,0.289,0.241,0.275,1.7e-05,10,0,,,,
rf,lc,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,13.963,0.301,0.334,0.31,0.437,0.359,0.28,2.5e-05,10,0,,,,
svc,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.602,0.002,0.369,0.171,0.154,0.172,0.217,4e-06,10,0,,,,
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5.458,0.006,0.445,0.127,0.047,0.142,0.104,1e-06,10,0,,,,
mlp,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,6.971,0.659,0.282,0.185,0.217,0.187,0.174,5.5e-05,10,0,,,,
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.75,0.04,0.802,0.803,0.897,0.897,0.849,3e-06,10,1,,,,
rf,random,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,15.928,0.15,0.777,0.749,0.862,0.855,0.869,1.2e-05,10,1,,,,
svc,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,6.803,0.001,0.769,0.724,0.842,0.83,0.848,2e-06,10,1,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,7.001,0.008,0.779,0.743,0.856,0.847,0.861,1e-06,10,1,,,,
mlp,random,0.65,0.64,0.64,0.65,0.339,0.336,0.336,0.339,7.331,0.048,0.741,0.663,0.789,0.762,0.813,7e-05,10,1,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,5.836,0.035,0.804,0.803,0.896,0.896,0.874,1.5e-05,10,1,,,,
