method,ipc,model,regret_mean,regret_std
k-means,10,xgb,0.29136712923574837,0.8578744845052858
k-means,10,rf,1.2603050907355375,0.5650522286316177
k-means,10,svc,7.157889562590617,14.68112132938121
k-means,10,logreg,1.5381757062814825,0.9920438817919454
k-means,10,mlp,0.9711953498127276,1.8277868771418935
random,10,xgb,1.0,0.0
random,10,rf,1.0,0.0
random,10,svc,1.0,0.0
random,10,logreg,1.0,0.0
random,10,mlp,1.0,0.0
original,10,xgb,0.0,0.0
original,10,rf,0.0,0.0
original,10,svc,0.0,0.0
original,10,logreg,0.0,0.0
original,10,mlp,0.0,0.0
ag,10,xgb,-1.1640480639263515,1.8866476140335728
ag,10,rf,1.2103041022430026,0.49089188644380144
ag,10,svc,24.086756924457365,47.83802650346868
ag,10,logreg,1.0689128471581975,1.5025960911364362
ag,10,mlp,-1.7135027694608866,3.169364887042941
k_center,10,xgb,-0.6241147093110844,4.149242462404102
k_center,10,rf,3.331020323122052,1.3765888132721602
k_center,10,svc,25.066922036471492,53.878803615959725
k_center,10,logreg,0.3378191999716197,6.206951395020905
k_center,10,mlp,-8.304987980193252,9.913706601848972
lc,10,xgb,-1.8397701077232493,9.251600054760551
lc,10,rf,5.915912372605425,2.2676101467945835
lc,10,svc,38.86563982141887,78.67271572121864
lc,10,logreg,2.761466132039645,19.084010810719594
lc,10,mlp,-15.70104156040619,19.007553116927163
craig,10,xgb,-1.3863910062239726,5.485687174776198
craig,10,rf,3.476036860614774,1.3076380163291397
craig,10,svc,25.369253272286592,52.66307472550783
craig,10,logreg,1.7190140395832145,9.29631671683622
craig,10,mlp,-1.467586619771185,5.917497034206813
