<<<<<<< HEAD:Experiments_F_H/checkpoint_adult_Doriginal_G/metrics.csv
model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,Full-data,0.798,0.815,0.869,0.872,0.004,0.005,0.004,0.004,72.189,140.422,0.802,0.818,0.871,0.875,0.927,9e-06,original,,,,,,
rf,Full-data,0.831,0.781,0.827,0.817,0.001,0.002,0.002,0.002,695.289,39.006,0.829,0.783,0.83,0.82,0.912,8.9e-05,original,,,,,,
svc,Full-data,0.771,0.789,0.851,0.857,0.004,0.004,0.003,0.002,42552.614,1617.806,0.768,0.785,0.848,0.853,0.883,0.001728,original,,,,,,
logreg,Full-data,0.766,0.784,0.847,0.853,0.007,0.007,0.005,0.005,41.441,5.968,0.762,0.779,0.844,0.849,0.902,4e-06,original,,,,,,
mlp,Full-data,0.768,0.785,0.848,0.853,0.006,0.005,0.004,0.004,385.348,1435.913,0.776,0.789,0.849,0.853,0.903,2.9e-05,original,,,,,,
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,28.617,16.304,0.716,0.69,0.761,0.75,0.817,1.2e-05,original,10,5,,,,
rf,random,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,25.01,0.262,0.746,0.714,0.778,0.766,0.841,1.2e-05,original,10,5,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,2.936,0.001,0.658,0.628,0.706,0.687,0.407,3e-06,original,10,5,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,3.858,0.177,0.694,0.704,0.79,0.796,0.84,1e-05,original,10,5,,,,
mlp,random,0.75,0.733,0.733,0.75,0.274,0.292,0.292,0.274,11.307,2.416,0.736,0.716,0.784,0.776,0.835,2.3e-05,original,10,5,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,7.216,29.855,0.5,0.193,0.092,0.239,0.558,1.3e-05,original,10,5,,,,
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,36.614,0.435,0.5,0.193,0.092,0.239,0.854,1.1e-05,original,10,5,,,,
svc,k-means,0.7,0.687,0.687,0.7,0.1,0.093,0.093,0.1,4.42,0.001,0.798,0.75,0.803,0.791,0.878,2e-06,original,10,5,,,,
