model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.85,0.843,0.843,0.85,0.082,0.09,0.09,0.082,11.806,0.53,0.823,0.727,0.83,0.809,0.887,1.8e-05,original,30,0,,,,
rf,random,0.767,0.762,0.762,0.767,0.097,0.101,0.101,0.097,15.203,0.394,0.779,0.681,0.795,0.767,0.854,2.7e-05,original,30,0,,,,
svc,random,0.733,0.709,0.709,0.733,0.062,0.077,0.077,0.062,5.614,0.003,0.743,0.756,0.876,0.879,0.878,8e-06,original,30,0,,,,
logreg,random,0.8,0.793,0.793,0.8,0.041,0.043,0.043,0.041,5.516,0.008,0.778,0.698,0.814,0.792,0.849,1e-06,original,30,0,,,,
mlp,random,0.783,0.781,0.781,0.783,0.113,0.115,0.115,0.113,7.356,1.387,0.737,0.649,0.774,0.743,0.802,6.7e-05,original,30,0,,,,
xgb,random,0.867,0.866,0.866,0.867,0.067,0.067,0.067,0.067,6.913,0.025,0.83,0.776,0.871,0.861,0.893,2.2e-05,original,30,1,,,,
rf,random,0.8,0.796,0.796,0.8,0.155,0.157,0.157,0.155,12.136,0.221,0.768,0.677,0.795,0.767,0.832,1.7e-05,original,30,1,,,,
svc,random,0.783,0.781,0.781,0.783,0.113,0.114,0.114,0.113,5.191,0.004,0.789,0.692,0.804,0.778,0.86,1e-05,original,30,1,,,,
logreg,random,0.767,0.765,0.765,0.767,0.122,0.123,0.123,0.122,6.86,0.005,0.785,0.698,0.812,0.788,0.854,1e-06,original,30,1,,,,
mlp,random,0.733,0.73,0.73,0.733,0.082,0.082,0.082,0.082,8.8,1.047,0.767,0.655,0.77,0.736,0.845,6.7e-05,original,30,1,,,,
xgb,random,0.933,0.933,0.933,0.933,0.062,0.062,0.062,0.062,6.775,0.532,0.821,0.728,0.831,0.81,0.876,1.6e-05,original,30,2,,,,
rf,random,0.867,0.866,0.866,0.867,0.041,0.041,0.041,0.041,12.534,0.149,0.752,0.652,0.773,0.74,0.842,1.8e-05,original,30,2,,,,
svc,random,0.867,0.866,0.866,0.867,0.1,0.101,0.101,0.1,6.482,0.003,0.78,0.69,0.805,0.779,0.848,7e-06,original,30,2,,,,
logreg,random,0.867,0.866,0.866,0.867,0.067,0.067,0.067,0.067,4.245,0.006,0.778,0.693,0.808,0.784,0.847,0.0,original,30,2,,,,
mlp,random,0.867,0.865,0.865,0.867,0.041,0.041,0.041,0.041,7.281,0.134,0.75,0.654,0.776,0.744,0.815,7.8e-05,original,30,2,,,,
xgb,random,0.85,0.841,0.841,0.85,0.097,0.113,0.113,0.097,6.679,0.045,0.835,0.777,0.872,0.861,0.888,2.2e-05,original,30,3,,,,
rf,random,0.783,0.775,0.775,0.783,0.041,0.046,0.046,0.041,16.234,0.297,0.796,0.696,0.807,0.781,0.866,2.1e-05,original,30,3,,,,
svc,random,0.767,0.754,0.754,0.767,0.062,0.076,0.076,0.062,6.714,0.003,0.785,0.742,0.853,0.843,0.858,9e-06,original,30,3,,,,
logreg,random,0.783,0.774,0.774,0.783,0.067,0.081,0.081,0.067,6.928,0.007,0.797,0.768,0.872,0.866,0.881,1e-06,original,30,3,,,,
mlp,random,0.667,0.654,0.654,0.667,0.053,0.055,0.055,0.053,8.627,0.162,0.753,0.668,0.79,0.762,0.838,5.1e-05,original,30,3,,,,
xgb,random,0.867,0.863,0.863,0.867,0.067,0.072,0.072,0.067,7.46,0.03,0.834,0.772,0.868,0.856,0.894,1.8e-05,original,30,4,,,,
rf,random,0.817,0.812,0.812,0.817,0.062,0.066,0.066,0.062,14.495,0.173,0.812,0.736,0.841,0.824,0.871,2.2e-05,original,30,4,,,,
svc,random,0.8,0.791,0.791,0.8,0.113,0.123,0.123,0.113,6.567,0.003,0.818,0.773,0.872,0.863,0.88,6e-06,original,30,4,,,,
logreg,random,0.817,0.813,0.813,0.817,0.062,0.066,0.066,0.062,4.701,0.138,0.798,0.748,0.855,0.843,0.865,0.0,original,30,4,,,,
mlp,random,0.683,0.679,0.679,0.683,0.122,0.127,0.127,0.122,7.549,0.024,0.761,0.68,0.801,0.776,0.829,4.4e-05,original,30,4,,,,
xgb,random,0.833,0.824,0.824,0.833,0.118,0.13,0.13,0.118,5.265,0.049,0.786,0.694,0.808,0.783,0.861,1.1e-05,original,30,5,,,,
rf,random,0.7,0.696,0.696,0.7,0.145,0.149,0.149,0.145,12.506,0.205,0.758,0.659,0.779,0.747,0.844,1.5e-05,original,30,5,,,,
svc,random,0.767,0.755,0.755,0.767,0.097,0.108,0.108,0.097,2.497,0.003,0.799,0.759,0.864,0.856,0.878,1.3e-05,original,30,5,,,,
logreg,random,0.75,0.747,0.747,0.75,0.091,0.093,0.093,0.091,5.281,0.006,0.798,0.706,0.816,0.792,0.877,0.0,original,30,5,,,,
mlp,random,0.717,0.711,0.711,0.717,0.113,0.12,0.12,0.113,5.519,0.09,0.762,0.653,0.77,0.736,0.845,3.8e-05,original,30,5,,,,
xgb,random,0.917,0.916,0.916,0.917,0.091,0.092,0.092,0.091,7.163,0.05,0.836,0.743,0.842,0.823,0.875,1.7e-05,original,30,6,,,,
