model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,random,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,40.049,0.002,0.705,0.57,0.683,0.632,,2e-06,original,10,5,,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,1.131,0.007,0.716,0.633,0.763,0.73,,0.0,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.317,0.001,0.72,0.681,0.817,0.802,,7e-05,original,10,5,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,1.418,0.047,0.755,0.679,0.802,0.778,,2e-06,original,10,5,,,,,
rf,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,13.317,0.424,0.739,0.643,0.766,0.732,,5.5e-05,original,10,5,,,,,
mlp,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,1.696,0.028,0.752,0.596,0.701,0.653,,4.7e-05,original,10,5,,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,0.653,0.002,0.761,0.626,0.736,0.694,,4e-06,original,10,5,,,,,
naive_bayes,k-means,0.6,0.547,0.547,0.6,0.2,0.232,0.232,0.2,0.533,0.001,0.524,0.383,0.464,0.406,,1e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
logreg,k-means,0.7,0.627,0.627,0.7,0.187,0.259,0.259,0.187,0.704,0.003,0.758,0.644,0.761,0.724,,1e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
knn,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.646,0.001,0.677,0.579,0.709,0.663,,2e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.111,0.034,0.828,0.793,0.885,0.879,,7e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
rf,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,12.549,0.394,0.744,0.697,0.824,0.809,,3.7e-05,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
mlp,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,1.517,0.021,0.737,0.599,0.711,0.664,,8e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
svc,k-means,0.65,0.633,0.633,0.65,0.255,0.268,0.268,0.255,0.637,0.001,0.725,0.594,0.709,0.662,,2e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
naive_bayes,k-means,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.503,0.001,0.507,0.155,0.075,0.171,,2e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
logreg,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.82,0.006,0.802,0.752,0.858,0.847,,1e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
knn,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,0.671,0.001,0.675,0.613,0.757,0.725,,2e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
xgb,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,1.317,0.063,0.679,0.611,0.752,0.718,,5e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.482,0.444,0.761,0.696,0.818,0.798,,3.7e-05,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
mlp,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,2.123,0.034,0.803,0.743,0.85,0.836,,1.9e-05,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
svc,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,0.596,0.001,0.802,0.754,0.86,0.849,,2e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0009133815765380859,0.11754560470581055
naive_bayes,k-center,0.5,0.453,0.453,0.5,0.158,0.18,0.18,0.158,0.511,0.001,0.455,0.387,0.511,0.44,,1e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
logreg,k-center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,0.809,0.011,0.559,0.423,0.516,0.454,,1e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
knn,k-center,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,0.683,0.001,0.53,0.267,0.26,0.268,,8e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
xgb,k-center,0.55,0.44,0.44,0.55,0.245,0.285,0.285,0.245,1.148,0.041,0.486,0.191,0.145,0.197,,4e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
rf,k-center,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,8.889,0.155,0.481,0.207,0.174,0.21,,1.6e-05,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
mlp,k-center,0.4,0.313,0.313,0.4,0.122,0.111,0.111,0.122,1.477,0.021,0.542,0.354,0.405,0.363,,9e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
svc,k-center,0.5,0.333,0.333,0.5,0.0,0.0,0.0,0.0,0.621,0.002,0.495,0.134,0.043,0.154,,4e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
naive_bayes,k-center,0.35,0.287,0.287,0.35,0.122,0.119,0.119,0.122,0.521,0.001,0.498,0.136,0.045,0.156,,1e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
logreg,k-center,0.55,0.44,0.44,0.55,0.245,0.285,0.285,0.245,0.856,0.005,0.491,0.135,0.046,0.154,,1e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
knn,k-center,0.6,0.553,0.553,0.6,0.255,0.286,0.286,0.255,0.671,0.0,0.51,0.28,0.29,0.281,,1.9e-05,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
xgb,k-center,0.65,0.547,0.547,0.65,0.2,0.275,0.275,0.2,1.181,0.028,0.428,0.396,0.549,0.478,,3e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
rf,k-center,0.45,0.34,0.34,0.45,0.1,0.095,0.095,0.1,12.703,0.273,0.496,0.136,0.046,0.156,,2.9e-05,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
mlp,k-center,0.35,0.293,0.293,0.35,0.255,0.244,0.244,0.255,2.062,0.063,0.52,0.427,0.545,0.478,,4.9e-05,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
svc,k-center,0.55,0.413,0.413,0.55,0.1,0.16,0.16,0.1,0.597,0.001,0.5,0.135,0.043,0.156,,6e-06,latent,10,5,942.0967350006104,0,9.354121020928023e-07,0.0007810592651367188,0.030068635940551758
naive_bayes,ag,0.25,0.2,0.2,0.25,0.0,0.0,0.0,0.0,0.556,0.001,0.58,0.414,0.49,0.435,,1e-06,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0006911754608154297,4.983971118927002
logreg,ag,0.55,0.513,0.513,0.55,0.332,0.341,0.341,0.332,0.81,0.012,0.754,0.668,0.79,0.762,,0.0,original,10,5,942.0967350006104,0,9.354121020928023e-07,0.0006911754608154297,4.983971118927002
