model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,random,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,16.366,0.135,0.716,0.69,0.761,0.75,0.817,3e-06,original,10,5,,,,,
rf,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,16.165,0.399,0.754,0.696,0.752,0.734,0.833,9e-06,original,10,5,,,,,
svc,random,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.851,0.002,0.658,0.628,0.706,0.687,0.407,3e-06,original,10,5,,,,,
logreg,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,7.048,0.01,0.694,0.704,0.79,0.796,0.84,8e-06,original,10,5,,,,,
mlp,random,0.8,0.787,0.787,0.8,0.292,0.311,0.311,0.292,8.186,0.844,0.748,0.718,0.782,0.772,0.842,7e-06,original,10,5,,,,,
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,4.816,0.001,0.632,0.608,0.692,0.674,0.697,2e-06,original,10,5,,,,,
knn,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,6.236,0.001,0.573,0.576,0.724,0.766,0.76,4.3e-05,original,10,5,,,,,
xgb,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,6.846,0.022,0.655,0.642,0.729,0.72,0.744,3e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,14.006,0.342,0.694,0.703,0.789,0.795,0.812,7e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,7.144,0.001,0.772,0.701,0.752,0.733,0.859,3e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,2.605,0.005,0.757,0.755,0.821,0.82,0.871,7e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
mlp,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.577,1.013,0.773,0.724,0.779,0.765,0.857,9e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
naive_bayes,k-means,0.75,0.713,0.713,0.75,0.224,0.266,0.266,0.224,6.807,0.001,0.696,0.706,0.792,0.798,0.784,1e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
knn,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.271,0.001,0.761,0.706,0.762,0.746,0.839,2.8e-05,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
xgb,k-means,0.9,0.9,0.9,0.9,0.2,0.2,0.2,0.2,7.493,0.031,0.601,0.504,0.543,0.515,0.673,2e-06,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
rf,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,13.652,0.281,0.64,0.51,0.533,0.514,0.739,1e-05,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
svc,k-means,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,7.819,0.002,0.725,0.742,0.819,0.827,0.5,3e-06,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
logreg,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,7.095,0.006,0.77,0.75,0.811,0.805,0.868,1.4e-05,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
mlp,k-means,0.65,0.613,0.613,0.65,0.2,0.232,0.232,0.2,7.764,0.039,0.783,0.752,0.809,0.8,0.866,1.8e-05,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
naive_bayes,k-means,0.8,0.793,0.793,0.8,0.187,0.189,0.189,0.187,4.861,0.001,0.636,0.642,0.746,0.754,0.714,2e-06,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
knn,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,7.667,0.001,0.715,0.737,0.818,0.829,0.852,1.1e-05,latent,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0017459392547607422,0.259763240814209
xgb,k-center,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,7.726,0.022,0.656,0.661,0.757,0.761,0.719,5e-06,original,10,5,2221.332615375519,100.81270837783813,5.910483195685867e-07,0.0014810562133789062,0.09064388275146484
