Subset,Score,Default Train Time,Opt Train Time,Opt Train Time Total,Hostname,Data Distill Time,Inference Time,Dataset,Classifier,N,Data Parse Mode,Post Data Parse Mode,Data Mode,Distill Method,Encoder,Distill Space,Output Space,Convert Binary,Cluster Center,Short Name
Test,0.6941136404916146,0.49321961402893066,0,0,Unknown,-1.0,0.0030448436737060547,CreditDefault,XGBClassifier,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.6926172024782548,1082.0692749023438,0,0,inwons-mbp.watson.ibm.com,-1.0,0.08925890922546387,CreditDefault,FTTransformer,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7106541744868924,14.218179702758789,0,0,inwons-mbp.watson.ibm.com,-1.0,0.005064249038696289,CreditDefault,ResNet,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7066502189663175,8.911718130111694,0,0,Unknown,-1.0,0.003833293914794922,CreditDefault,MLPClassifier,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.6689915440657102,1.0704600811004639,0,0,Unknown,-1.0,0.0020322799682617188,CreditDefault,LogisticRegression,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.5978108413553712,0.004873752593994141,0,0,Unknown,-1.0,0.0011172294616699219,CreditDefault,GaussianNB,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.662972997517709,0.001226186752319336,0,0,Unknown,-1.0,0.05186772346496582,CreditDefault,KNeighborsClassifier,10,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.6941136404916146,0.49321961402893066,0,0,Unknown,-1.0,0.0030448436737060547,CreditDefault,XGBClassifier,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.6926172024782548,1082.0692749023438,0,0,inwons-mbp.watson.ibm.com,-1.0,0.08925890922546387,CreditDefault,FTTransformer,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7106541744868924,14.218179702758789,0,0,inwons-mbp.watson.ibm.com,-1.0,0.005064249038696289,CreditDefault,ResNet,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
Test,0.7066502189663175,8.911718130111694,0,0,Unknown,-1.0,0.003833293914794922,CreditDefault,MLPClassifier,20,mixed,mixed,Mixed -> Original -> Mixed,Original,N/A,N/A,original,False,centroid,Mixed -> ORI -> Mixed
