model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
naive_bayes,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,31.214,0.002,0.799,0.39,0.772,0.631,,1e-06,original,10,5,,,,,
logreg,random,0.8,0.733,0.733,0.8,0.245,0.327,0.327,0.245,1.125,0.007,0.779,0.499,0.97,0.944,,0.0,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.292,0.001,0.736,0.512,0.983,0.969,,1e-06,original,10,5,,,,,
xgb,random,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.331,0.017,0.814,0.458,0.903,0.824,,0.0,original,10,5,,,,,
rf,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,12.303,0.388,0.874,0.482,0.943,0.895,,5e-06,original,10,5,,,,,
mlp,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.379,0.016,0.799,0.435,0.86,0.756,,1e-06,original,10,5,,,,,
naive_bayes,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,0.544,0.001,0.783,0.364,0.722,0.566,,0.0,original,10,5,,,,,9.356482982635498
logreg,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.801,0.019,0.786,0.367,0.728,0.574,,0.0,original,10,5,,,,,9.356482982635498
knn,k-means,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,0.702,0.001,0.78,0.504,0.975,0.953,,1e-06,original,10,5,,,,,9.356482982635498
xgb,k-means,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.097,0.023,0.754,0.342,0.678,0.514,,0.0,original,10,5,,,,,9.356482982635498
rf,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,9.966,0.244,0.659,0.243,0.481,0.318,,3e-06,original,10,5,,,,,9.356482982635498
mlp,k-means,0.7,0.66,0.66,0.7,0.187,0.227,0.227,0.187,1.421,0.019,0.768,0.395,0.782,0.644,,0.0,original,10,5,,,,,9.356482982635498
naive_bayes,ag,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,30.813,0.002,0.783,0.364,0.722,0.566,,0.0,original,10,5,,,,,919.9097156524658
logreg,ag,0.7,0.653,0.653,0.7,0.292,0.333,0.333,0.292,1.334,0.019,0.808,0.407,0.806,0.676,,0.0,original,10,5,,,,,919.9097156524658
knn,ag,0.65,0.627,0.627,0.65,0.2,0.213,0.213,0.2,1.111,0.001,0.642,0.516,0.99,0.982,,1e-06,original,10,5,,,,,919.9097156524658
xgb,ag,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.361,0.038,0.772,0.429,0.849,0.739,,0.0,original,10,5,,,,,919.9097156524658
rf,ag,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,11.14,0.268,0.839,0.465,0.915,0.845,,3e-06,original,10,5,,,,,919.9097156524658
mlp,ag,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,1.421,0.015,0.8,0.401,0.794,0.66,,0.0,original,10,5,,,,,919.9097156524658
naive_bayes,k_center,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,0.543,0.001,0.77,0.363,0.72,0.564,,0.0,original,10,5,,,,,1.9915196895599365
logreg,k_center,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,0.851,0.005,0.5,0.001,0.0,0.001,,0.0,original,10,5,,,,,1.9915196895599365
knn,k_center,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,0.814,0.001,0.5,0.001,0.0,0.001,,1e-06,original,10,5,,,,,1.9915196895599365
xgb,k_center,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,1.094,0.041,0.768,0.423,0.838,0.723,,0.0,original,10,5,,,,,1.9915196895599365
rf,k_center,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,10.272,0.29,0.778,0.399,0.791,0.656,,3e-06,original,10,5,,,,,1.9915196895599365
mlp,k_center,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,1.402,0.022,0.652,0.235,0.466,0.305,,1e-06,original,10,5,,,,,1.9915196895599365
naive_bayes,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.502,0.002,0.565,0.408,0.812,0.685,,0.0,original,10,5,,,,,6.711447715759277
logreg,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.747,0.004,0.494,0.495,0.989,0.98,,0.0,original,10,5,,,,,6.711447715759277
knn,lc,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.699,0.001,0.494,0.495,0.989,0.98,,0.0,original,10,5,,,,,6.711447715759277
