method,IPC,model,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,cv_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,seed
Full-data,,xgb,0.775,0.794,0.896,0.9,0.005,0.002,0.001,0.001,17.838,0.776,0.803,0.902,0.907,0.93,
random,10,xgb,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,9.141,0.83,0.793,0.885,0.878,0.883,0.0
k-means,10,xgb,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,10.831,0.811,0.807,0.898,0.898,0.815,0.0
random,10,xgb,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,13.154,0.802,0.803,0.897,0.897,0.849,1.0
k-means,10,xgb,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,10.283,0.811,0.799,0.893,0.891,0.835,1.0
random,10,xgb,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,13.801,0.833,0.789,0.881,0.873,0.85,2.0
k-means,10,xgb,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,11.242,0.809,0.805,0.898,0.897,0.867,2.0
random,10,xgb,0.6,0.587,0.587,0.6,0.3,0.293,0.293,0.3,11.929,0.73,0.582,0.69,0.641,0.807,3.0
k-means,10,xgb,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,8.425,0.812,0.801,0.894,0.892,0.86,3.0
random,10,xgb,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,9.926,0.655,0.61,0.764,0.738,0.751,4.0
k-means,10,xgb,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,12.341,0.815,0.803,0.895,0.893,0.838,4.0
