param_name,param_value,is_baseline,roc_auc_recon,balanced_acc_recon,macro_f1_recon,status
max_beta,0.0001,False,0.7887042638502276,0.7887042638502276,0.8001746113068663,ok
max_beta,0.001,False,0.8152339942317934,0.8152339942317934,0.7960172431722143,ok
max_beta,0.005,False,0.8304182452191214,0.8304182452191216,0.7979351032448377,ok
max_beta,0.0077,False,0.8714413481926622,0.8233059661745938,0.7980672400676001,ok
max_beta,0.01,False,0.8336817035302629,0.8297198299685462,0.8003188411456688,ok
max_beta,0.05,False,0.8490141793369577,0.8427234175116318,0.7935311157118252,ok
max_beta,0.1,False,0.9060380259468802,0.8301996764176824,0.8013670256835128,ok
min_beta,1e-07,False,0.8829451015465627,0.8368321090130739,0.8001134797762828,ok
min_beta,1e-06,False,0.8645099536734633,0.8242656590728663,0.8001767532205579,ok
min_beta,1e-05,False,0.8290289515731929,0.8100411009838109,0.8003525717896305,ok
min_beta,0.00014,False,0.8710167720151539,0.8301569675714242,0.7935423041783306,ok
min_beta,0.001,False,0.907241410497332,0.8304182452191216,0.7979351032448377,ok
num_layers,1.0,True,0.8715795238717328,0.8202083186783371,0.7952029456004739,ok
num_layers,2.0,False,0.8558274964576781,0.8152339942317934,0.7960172431722143,ok
num_layers,3.0,False,0.8557822753263459,0.8287601370702736,0.7982326951399117,ok
num_layers,4.0,False,0.839155972706535,0.8202083186783371,0.7952029456004739,ok
n_head,1.0,False,0.8321014762187094,0.8304182452191216,0.7979351032448377,ok
n_head,2.0,True,0.8790837193878063,0.831377938117394,0.8000114223054782,ok
n_head,4.0,False,0.8798147943443437,0.8237858126237301,0.7991202346041055,ok
n_head,8.0,False,0.8763955743586136,0.832817477464803,0.8031511980088508,ok
d_token,4.0,False,0.8533956045060345,0.8112193626835225,0.7989831716109242,ok
d_token,8.0,True,0.8301996764176824,0.8301996764176824,0.8013670256835128,ok
d_token,16.0,False,0.8693435901558622,0.8337771703630754,0.8052615499899127,ok
d_token,32.0,False,0.8605380309714504,0.8287601370702736,0.7982326951399117,ok
factor,4.0,False,0.8974234004280934,0.8268834601199867,0.8019899455383326,ok
factor,8.0,False,0.8652209303494086,0.8308980916682578,0.7989715934031479,ok
factor,16.0,True,0.8691702424857553,0.8121790555817949,0.8011611030478956,ok
factor,32.0,False,0.8739084121353418,0.8268834601199867,0.8019899455383326,ok
factor,64.0,False,0.8962401141582338,0.8375305242636493,0.7977535988502426,ok
lr_pretrain,0.0001,False,0.8606485715147069,0.8150154254303544,0.7995026065330719,ok
lr_pretrain,0.0005,False,0.8133573172815066,0.8133573172815065,0.7997868627080704,ok
lr_pretrain,0.001,False,0.8134000261277647,0.8134000261277647,0.8081147176522899,ok
lr_pretrain,0.005,False,0.8841007526806082,0.8415451558119202,0.794825759101777,ok
lr_pretrain,0.01,False,0.8808222206590226,0.831377938117394,0.8000114223054782,ok
lambda_,0.1,False,0.8135758860829457,0.8135758860829456,0.796286281086825,ok
lambda_,0.3,False,0.8758855804885892,0.8289787058717126,0.7948454133346916,ok
lambda_,0.5,False,0.9014078845554764,0.8209494427751706,0.8007746296979912,ok
lambda_,0.7,False,0.8985891007024349,0.8287601370702736,0.7982326951399117,ok
lambda_,0.9,True,0.8799956788696726,0.8140984413783401,0.8055644860612803,ok
