model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,space,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time,destillation_time
xgb,Full-data,0.778,0.798,0.898,0.902,0.008,0.007,0.003,0.003,26.466,19.087,0.769,0.795,0.898,0.903,0.93,3.4e-05,original,,,,,,,
rf,Full-data,0.854,0.784,0.873,0.862,0.008,0.005,0.003,0.004,126.852,4.384,0.864,0.789,0.876,0.864,0.918,6.1e-05,original,,,,,,,
svc,Full-data,0.744,0.77,0.885,0.892,0.005,0.006,0.003,0.003,918.595,38.88,0.771,0.795,0.897,0.902,0.885,0.00026,original,,,,,,,
logreg,Full-data,0.677,0.717,0.866,0.882,0.006,0.005,0.002,0.002,16.368,9.247,0.702,0.746,0.88,0.894,0.902,1e-06,original,,,,,,,
mlp,Full-data,0.761,0.782,0.89,0.895,0.015,0.01,0.004,0.003,124.227,170.842,0.762,0.781,0.89,0.894,0.913,3.7e-05,original,,,,,,,
naive_bayes,Full-data,0.568,0.281,0.269,0.281,0.008,0.015,0.023,0.014,9.223,0.02,0.567,0.285,0.277,0.285,0.754,2e-06,original,,,,,,,
knn,Full-data,0.674,0.701,0.854,0.866,0.013,0.014,0.007,0.006,27.642,0.003,0.686,0.713,0.86,0.87,0.782,0.000211,original,,,,,,,
xgb,random,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,20.098,0.231,0.755,0.679,0.802,0.778,0.824,2.2e-05,original,10,5,,,,,
rf,random,0.8,0.787,0.787,0.8,0.1,0.107,0.107,0.1,23.102,0.468,0.737,0.645,0.769,0.736,0.832,3.6e-05,original,10,5,,,,,
svc,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.82,0.002,0.761,0.626,0.736,0.694,0.49,3e-06,original,10,5,,,,,
logreg,random,0.75,0.707,0.707,0.75,0.158,0.213,0.213,0.158,3.524,0.006,0.716,0.633,0.763,0.73,0.796,0.0,original,10,5,,,,,
mlp,random,0.75,0.733,0.733,0.75,0.0,0.0,0.0,0.0,6.352,0.037,0.755,0.616,0.727,0.683,0.842,9.8e-05,original,10,5,,,,,
naive_bayes,random,0.6,0.593,0.593,0.6,0.122,0.114,0.114,0.122,6.804,0.001,0.705,0.57,0.683,0.632,0.707,1e-06,original,10,5,,,,,
knn,random,0.75,0.68,0.68,0.75,0.224,0.299,0.299,0.224,8.43,0.001,0.72,0.681,0.817,0.802,0.776,0.000124,original,10,5,,,,,
xgb,k-means,0.9,0.867,0.867,0.9,0.2,0.267,0.267,0.2,6.024,0.271,0.821,0.81,0.899,0.897,0.882,1.9e-05,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
rf,k-means,0.85,0.813,0.813,0.85,0.2,0.261,0.261,0.2,18.927,0.346,0.714,0.654,0.79,0.766,0.799,1.7e-05,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
svc,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,5.547,0.002,0.834,0.787,0.88,0.872,0.908,3e-06,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
logreg,k-means,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,7.407,0.007,0.803,0.792,0.889,0.887,0.891,0.0,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
mlp,k-means,0.65,0.607,0.607,0.65,0.122,0.164,0.164,0.122,8.823,0.036,0.808,0.736,0.843,0.826,0.884,0.000103,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
naive_bayes,k-means,0.7,0.68,0.68,0.7,0.245,0.261,0.261,0.245,5.39,0.001,0.651,0.478,0.565,0.509,0.668,1e-06,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
knn,k-means,0.75,0.74,0.74,0.75,0.158,0.158,0.158,0.158,9.162,0.001,0.803,0.714,0.822,0.8,0.857,0.00012,original,10,5,1754.0809109210968,0,8.383430617773244e-07,0.0020554065704345703,0.4008972644805908
