method,ipc,model,regret_mean,regret_std
k-means,10,xgb,0.3520654419274525,0.6133851672685091
k-means,10,rf,4.06263329194853,1.8935892723663819
k-means,10,svc,23.28034222029354,46.17689052062921
k-means,10,logreg,-1.3788618716355063,6.000776007324134
k-means,10,mlp,0.060726727533012725,0.2624810976520863
random,10,xgb,1.0,0.0
random,10,rf,1.0,0.0
random,10,svc,1.0,0.0
random,10,logreg,1.0,0.0
random,10,mlp,1.0,0.0
original,10,xgb,0.0,0.0
original,10,rf,0.0,0.0
original,10,svc,0.0,0.0
original,10,logreg,0.0,0.0
original,10,mlp,0.0,0.0
ag,10,xgb,-0.6303904523533171,1.9274635468748482
ag,10,rf,2.045726278699969,0.9558333460884767
ag,10,svc,22.335045766273815,50.368167487253054
ag,10,logreg,-0.6628474457366647,3.8928806632862574
ag,10,mlp,0.4068257181551857,0.357347143461915
k_center,10,xgb,-1.1007358922603065,1.931730067160501
k_center,10,rf,3.437394569812595,1.113835733299435
k_center,10,svc,25.478764193773745,52.49914028329154
k_center,10,logreg,2.248948044023643,11.268837897369718
k_center,10,mlp,3.9877086219871964,1.4877838375322985
lc,10,xgb,-1.1571504533214856,7.433935206126237
lc,10,rf,5.985677841385557,2.7538412146825517
lc,10,svc,40.336138030496876,81.33828035386236
lc,10,logreg,2.641551532081145,14.387293357261958
lc,10,mlp,10.071757744431489,4.069702193326339
craig,10,xgb,-0.4218127675192592,5.226049417278904
craig,10,rf,3.034640464187746,0.9232447827276553
craig,10,svc,25.48735130059836,52.60733219546714
craig,10,logreg,2.158307866015714,11.039027015131577
craig,10,mlp,4.548088481103223,2.232908982793369
k-means,20,xgb,3.6061835267168916,8.867249373171248
k-means,20,rf,4.257241504754131,1.3923326438797354
k-means,20,svc,-10.096228904900132,16.817975010408976
k-means,20,logreg,0.3496789992464212,1.3762822435104811
k-means,20,mlp,0.25261601918223897,0.5288075728397347
random,20,xgb,1.0,0.0
random,20,rf,1.0,0.0
random,20,svc,1.0,0.0
random,20,logreg,1.0,0.0
random,20,mlp,1.0,0.0
original,20,xgb,0.0,0.0
original,20,rf,0.0,0.0
original,20,svc,0.0,0.0
original,20,logreg,0.0,0.0
original,20,mlp,0.0,0.0
ag,20,xgb,0.08710900628753886,1.8647821274523886
ag,20,rf,1.7739607785498301,0.9767825698210039
ag,20,svc,-1.9525693713840049,10.641247034008641
ag,20,logreg,-1.171836267869243,1.0534474569693253
ag,20,mlp,1.1800774849931108,0.5720795585787111
k_center,20,xgb,0.20651947414338157,2.2266096234646944
k_center,20,rf,1.9932009901072099,0.9950919746498837
k_center,20,svc,6.879923877587428,38.84420929967702
k_center,20,logreg,-3.116630768609758,0.8131087636340244
k_center,20,mlp,5.0672434261393215,1.0466331111356333
lc,20,xgb,1.9999661525456678,19.014948021676748
lc,20,rf,6.910114262853537,2.2806655143660834
lc,20,svc,10.322693657137854,65.49585389492829
lc,20,logreg,-5.542446496740918,1.9113136180885688
lc,20,mlp,13.93738515850377,4.357039929995605
craig,20,xgb,-1.2870505002284969,3.946520286482817
craig,20,rf,2.3559026190429613,1.4614561505855395
craig,20,svc,7.453942441131844,37.58769301207094
craig,20,logreg,-1.6999744002510173,1.0367628477422595
craig,20,mlp,4.143206941176517,1.8509656339883471
