model,method,cv_balanced,cv_macro_f1,cv_weighted_f1,cv_accuracy,cv_balanced_std,cv_macro_f1_std,cv_weighted_f1_std,cv_accuracy_std,optuna_time,train_time,test_balanced,test_macro_f1,test_weighted_f1,test_accuracy,test_roc_auc,inf_time_per_sample,IPC,seed,vae_pretrain_time,vae_fine_tunning_time,encoder_inference_time,decoder_inference_time
xgb,random,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,4.243,0.038,0.83,0.793,0.885,0.878,0.883,1.2e-05,10,0,,,,
rf,random,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,16.618,0.33,0.802,0.713,0.822,0.8,0.869,2.1e-05,10,0,,,,
svc,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,6.081,0.001,0.71,0.648,0.785,0.759,0.794,4e-06,10,0,,,,
logreg,random,0.65,0.6,0.6,0.65,0.255,0.292,0.292,0.255,4.09,0.008,0.775,0.724,0.84,0.826,0.851,0.0,10,0,,,,
mlp,random,0.5,0.42,0.42,0.5,0.158,0.183,0.183,0.158,5.683,0.03,0.78,0.726,0.84,0.826,0.856,4.1e-05,10,0,,,,
xgb,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,7.713,0.029,0.668,0.609,0.756,0.724,0.721,3e-06,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013113021850585938
rf,k-means,0.95,0.947,0.947,0.95,0.1,0.107,0.107,0.1,15.469,0.329,0.745,0.656,0.78,0.749,0.807,1.9e-05,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013113021850585938
svc,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,6.13,0.001,0.74,0.668,0.795,0.77,0.816,3e-06,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013113021850585938
logreg,k-means,0.85,0.84,0.84,0.85,0.122,0.131,0.131,0.122,5.298,0.009,0.762,0.706,0.827,0.81,0.836,0.0,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013113021850585938
mlp,k-means,0.65,0.64,0.64,0.65,0.122,0.114,0.114,0.122,5.475,0.049,0.715,0.653,0.788,0.763,0.804,5.2e-05,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013113021850585938
xgb,ag,0.9,0.893,0.893,0.9,0.122,0.131,0.131,0.122,4.906,0.03,0.713,0.589,0.706,0.659,0.798,5e-06,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013070106506347656
rf,ag,0.8,0.76,0.76,0.8,0.187,0.244,0.244,0.187,14.137,0.296,0.737,0.639,0.763,0.728,0.823,1.9e-05,10,0,109.2453281879425,60.12829780578613,5.896331877861837e-07,0.0013070106506347656
